2000 2000
1832 1757 196672716
405 477 398830039
1581 1555 259939854
1067 1166 661626579
115 118 51091947
300 297 370314961
1090 1270 916486905
320 397 853274715
265 260 754698506
980 1011 374533373
1390 1241 10662096
535 474 691724767
392 679 613643130
263 41 389698599
1349 1263 13441212
1474 1310 932907980
1116 1151 956077680
893 847 53830547
1402 1268 317572299
503 732 5003356
1291 1273 269755718
715 590 76789131
1708 1776 770179312
1275 1355 904693058
125 346 421364510
155 201 533224614
1251 1216 43990341
41 59 249205577
1742 1752 678107875
1964 1909 660023273
1153 990 491244805
8 172 414149732
776 742 894891029
1447 1442 971780082
1496 1352 126368421
1187 1091 327973409
1497 1475 648628916
1188 1223 795258286
1814 1714 589971746
628 559 37666431
670 599 912192204
649 560 51914848
187 97 153511716
828 825 65078862
1963 1941 189855527
1975 1980 147707590
1260 1190 174532192
1324 1302 132390055
1254 1303 352131191
760 869 275445222
1347 1438 335557562
1654 1777 737031714
204 226 49998749
110 85 434855256
1322 1371 205320927
557 449 492354094
1550 1665 965374044
1206 1181 292347912
1209 1243 84996103
1036 1081 745312752
120 21 88765499
251 269 701948597
994 960 73576127
1397 1374 14431171
417 356 8384873
1662 1615 214378330
1437 1393 33485434
90 221 9404340
1802 1822 963522552
1146 1263 462446990
692 646 151809118
1051 905 508900199
735 704 984170657
1571 1618 992293177
1924 1967 670951869
1622 1723 51527030
886 942 26539287
534 623 487855907
1210 1339 349115993
947 997 304383416
638 723 360696042
1683 1665 493503300
1247 1138 303398592
126 82 363310028
79 224 278723166
332 363 376364248
47 80 548858158
1073 1144 966273564
340 211 464142808
1767 1696 40986469
1972 1968 142393182
1159 1284 703935
75 118 693982753
986 1010 107270399
1993 1735 454510098
1482 1361 847021462
600 677 63799135
1435 1389 378925847
1163 1294 675282682
1297 1399 682297207
578 719 50506075
667 532 22276966
1517 732 491465842
859 820 498522047
1638 1694 423878367
602 712 107650559
544 458 27526547
1306 1243 248068673
1204 1153 442465516
1165 1016 73866090
1130 809 938737397
1970 1928 50081179
1973 1982 301442066
837 903 123573988
1556 1582 546548563
594 479 132228680
940 933 247849138
687 796 707322349
1664 1528 812398508
1922 1963 597841189
86 1 253003648
1946 1944 931061628
805 488 209573551
477 407 78672282
1625 1725 5548117
959 926 68589318
912 1064 662774873
1614 1763 175864647
298 138 849996165
1202 1123 932168117
1291 1364 853860147
292 269 597308666
1678 1800 631991911
671 466 372947344
118 167 926484784
1458 1417 422072826
1949 1986 2619411
1816 1768 746912575
370 413 195523052
1396 1462 577753388
106 234 597681538
319 315 466802030
187 391 608209336
1576 1547 737664268
12 84 254402754
1144 1250 216356885
191 272 90259795
906 816 2418357
212 45 422869053
266 339 519089943
1744 1746 62635305
307 495 7931030
1199 1192 508792605
94 71 566383046
99 23 846274393
806 796 827970974
1141 1104 719867670
1638 1619 654348216
545 599 959270903
567 589 946375936
826 793 698489325
1924 1938 351032158
1958 1987 289235607
398 326 281014827
181 24 184610353
1311 1290 304473782
204 141 870715972
970 842 80213407
730 649 75574459
1894 1797 183788951
476 350 957354695
1223 1255 452870626
1172 1078 251019003
231 286 524354414
257 416 677673927
1368 1415 807803261
1970 1823 136646647
239 179 453881622
33 166 641611615
1903 1993 944401175
440 387 467195029
842 991 361657744
841 758 546587478
1940 1821 646135955
274 265 304662394
1069 1032 207075605
1021 892 514696028
326 159 221900519
694 695 492724677
910 859 396981986
323 313 606208501
549 379 42923000
1408 1243 67052882
909 1099 597081542
709 817 261768545
1292 1162 675745613
802 888 553856011
434 533 798368323
1125 1066 923884963
745 747 726383669
1731 1809 983390360
1345 1279 23566581
298 442 342215107
1640 1571 419823252
1011 1075 470180321
870 825 517018137
1020 946 56897774
268 254 997503124
1877 1874 19333961
1323 1478 493780326
1078 1047 221272109
761 914 430814048
1146 1117 351756968
1412 1491 13984672
1487 1423 321931746
157 285 180020911
483 438 722033849
586 443 340045247
740 783 73631438
1270 1332 317821482
1354 1463 24476755
1617 1666 209790460
291 433 461814557
1348 1201 330290210
236 227 839252956
894 975 531356056
1479 1311 894189557
1669 1917 678514121
378 353 99567373
1410 1306 817237504
1807 1926 477518500
1034 1009 741357339
586 494 190382983
1469 1590 682502674
1852 1792 435775385
583 571 390327375
741 801 962103720
1913 1916 892332500
1512 1506 530409582
1613 1533 16543301
1370 1427 692841671
999 914 562432574
978 1062 581411679
1716 1789 703996178
1808 1872 841643615
1541 1474 955541695
1868 1945 573583112
1008 1048 348397215
176 197 651900580
1927 1978 622562958
411 399 477010099
1267 1300 386990255
210 297 749170213
697 582 165985015
1202 1325 916408177
243 332 70744339
513 485 25265790
9 51 698947797
1560 1423 847009397
1706 1639 906146172
1407 1319 996602662
1098 928 764731722
1464 1261 705572442
493 427 551805488
1169 1193 140575991
253 184 646592597
622 644 175222391
803 790 710692628
1198 1302 79744337
1361 1299 57157324
264 136 142547255
443 422 398020842
1871 1754 404692917
1861 1985 934861849
725 744 706449912
887 994 70207962
1997 1919 531877688
819 843 407035582
47 60 536889775
1830 1815 728569070
668 737 196661288
387 472 17760150
1216 1160 88172658
147 34 366007407
603 753 230395705
1587 1376 30432669
1230 1137 961682245
1197 1051 21391380
574 547 389050887
561 445 31370205
294 401 957965870
1859 1992 965096757
1140 1134 951484773
566 652 419480093
912 839 159152595
558 525 766108156
1543 1512 997800947
608 625 307355572
338 324 858024332
466 384 713273163
282 424 479112132
1185 1086 108274487
837 812 914515821
585 558 946301492
220 299 374726786
240 229 79464618
1906 1884 55014108
1009 1110 584702620
808 769 647780884
1628 1749 779249424
491 131 721920544
1717 1798 456993248
1462 1555 206548812
1632 1749 795848615
812 735 206110715
682 787 753016642
502 364 1524731
1988 1841 73389441
893 913 45785648
985 951 919899107
955 1049 388759508
555 450 108634544
931 844 589717763
1404 1502 834755873
1843 1799 313387434
1741 1659 73687199
1345 1474 954638717
1090 929 897409349
1109 1065 813463726
1057 921 43908449
134 13 322961685
705 486 940812023
1150 1224 713093672
113 129 43440150
163 208 103610697
1562 1546 364650015
710 748 623058057
237 165 803905458
1812 1835 438435774
218 254 507831398
311 152 643162936
292 296 283634740
456 579 508918517
1177 1269 580055635
1946 1926 37583771
1024 949 409270412
245 305 11352152
1991 2000 79864472
1005 999 558001256
798 759 839566714
1925 1920 731289941
1619 1455 49670098
1707 1782 221252476
917 1001 594525594
982 1060 914821515
576 660 516650566
1119 1084 2888353
925 1085 945076533
92 11 970672339
1409 1416 633180305
676 487 694921089
1519 1355 238587860
212 167 351556585
129 87 658007676
1676 1443 988446466
920 903 853420562
1893 1922 888424502
593 500 608690572
657 621 232939302
524 598 6163774
1417 1404 60520408
1724 1707 314731978
821 544 792782703
169 249 419359222
839 922 608942719
1472 1351 552244981
1270 1275 613903189
1820 1702 825014236
1891 1939 473501236
380 283 654980351
1971 1979 804029568
644 878 810292018
1886 1900 438118286
434 390 389976488
1847 1879 527881394
1373 1489 599569941
41 175 217847663
1107 1044 168357804
103 129 928604088
483 361 85010946
2 78 199177111
732 273 329847639
856 738 140905532
1593 1588 100394366
869 857 51542746
294 292 40151527
1236 1158 837670795
477 620 377921117
44 97 755233919
932 655 419299605
1963 1856 292040310
99 211 713920310
1736 1917 717191096
346 192 38921742
1717 1672 216212842
508 504 479057199
780 614 983509975
1656 1471 55602623
1036 891 62185312
1511 1459 854638728
1167 1307 541218977
1024 821 121179201
1309 1354 916415726
415 394 35717247
1177 1259 292617509
727 640 967240289
1054 1046 881576423
1656 1509 710597044
999 1006 823471400
1692 1589 12394190
1289 1249 680568774
1584 1615 942454571
1895 1928 217804333
81 15 632336210
1640 1658 294545164
1611 1731 505789618
972 1032 913663040
600 545 639939108
1353 1331 891386884
1597 1567 748723467
812 879 289257926
850 804 121507020
281 310 953013105
1207 1082 1854334
954 971 562643088
846 720 705618036
111 182 994445139
703 463 15857459
1596 1591 420437608
605 574 921415654
1357 1338 590530650
144 171 265167173
712 737 318237820
382 335 270169478
1671 1612 622194969
6 85 287129616
1807 1709 9603117
1582 1586 905023644
1019 880 181872026
1907 1855 980374922
1777 1781 205237186
1804 1801 9977510
1873 1897 66412298
956 1037 174995985
860 894 546935678
1877 1811 19452827
1706 1716 724328984
1988 1902 609140145
1656 1563 341391108
781 900 914046417
316 385 456267650
1400 1387 151141199
1965 1963 922975393
1136 1298 23857877
1405 1440 182311294
1803 1797 295412655
1423 1546 779206253
1490 1516 492855303
456 453 54060267
1697 1778 790522217
580 592 647974534
1786 1675 416999108
1130 1300 252275776
563 674 48709809
961 862 841544496
306 360 797131240
1757 1833 340102052
161 52 68200327
1910 1957 785802293
861 828 824542298
1262 1120 87298324
1751 1674 553155956
919 795 895988931
65 9 819109759
1433 1394 944912289
223 487 34850745
158 316 67339835
754 755 22255237
537 433 910115931
764 632 51221537
1313 1241 636825519
30 6 1845070
1986 1885 291193675
369 333 166904865
1918 1993 740674499
900 950 746988480
1550 1567 882533240
344 404 514588787
1288 1148 937865325
654 680 944617215
838 811 111124924
779 876 546900767
109 119 534188148
1852 1915 485250603
49 21 61544388
835 936 328883715
1425 1333 20447954
718 757 415483831
1864 1941 938529054
1801 1859 12984125
1314 1381 705392648
1689 1747 185708445
606 526 675608790
480 564 667513758
1027 1035 620109967
875 648 298257070
1111 1226 186543550
1007 1009 885964963
118 37 881257492
464 207 150210168
653 589 8013029
1657 1588 489482898
773 862 273289387
1164 1054 804007314
953 955 7437551
1318 1406 864553563
76 27 927023153
1540 1613 353542409
5 96 820830469
1121 1272 699793441
429 526 538919419
1079 1038 159632712
11 155 634588814
1293 805 879505043
1493 1514 482920575
704 713 17176716
1492 1372 34808664
1936 1969 298386836
1934 1947 277974131
202 260 950443514
892 661 308697793
1740 1643 1150279
1576 1628 909428010
1757 1825 8088863
846 624 178657638
1257 1217 187820714
813 818 895928610
1828 1670 555087084
312 345 830762791
317 392 873757577
1867 1992 155692313
1371 1494 827262525
407 359 494183971
185 279 55878235
1247 1451 979901651
898 714 717098015
455 522 201964007
1539 1678 544453828
1834 1860 837824062
1732 1648 335078552
1722 1773 93218336
1449 1454 144789761
1120 985 670214848
515 681 609480469
767 862 205108598
144 1 19388184
150 154 252206233
499 387 765712370
1478 1676 517952123
807 839 408677741
1774 1608 698212944
1521 1451 738206970
888 939 612327048
425 389 116237614
1870 1985 695798807
1622 1630 106036675
238 316 288763436
1092 1100 801796372
706 669 216908736
953 924 439003067
1224 1234 956357405
959 937 696589729
1780 1667 578927467
1710 1705 395317678
842 837 365992524
1566 1444 961441313
185 4 975028259
97 74 415870140
1495 1430 63897068
721 739 110572180
542 607 659274710
1837 1924 98947736
1305 1194 414378973
1863 1783 671114459
876 954 299504153
1453 1467 494362220
89 38 873942134
610 561 579556050
150 92 685781010
1518 1449 790582013
284 269 924342177
140 200 977386228
1996 1981 987981085
104 187 43073545
158 51 570883696
708 738 666823329
1350 1285 173334422
853 804 332210522
72 58 787114238
977 1074 281543260
1955 1994 910851085
556 414 883090718
626 775 280145443
1600 1501 421306665
1771 1776 912791007
1030 989 557877831
1508 1402 30051315
536 411 34708761
567 562 703464065
777 804 404764652
65 183 170327785
1527 1422 97994158
266 255 827024176
1822 1974 28439390
998 920 512377819
1375 1498 603347033
1796 1844 54313957
1220 1376 735697304
832 795 769349154
1956 1966 245369045
1515 1421 22089073
85 77 740774360
832 976 11437222
936 890 16474972
1651 1565 447216294
1983 1976 49035810
1071 1246 4577942
818 702 107572977
1012 997 810022521
1693 1601 706443464
1773 1758 504352240
533 582 9990685
1848 1717 62541396
1653 1516 539403537
1681 1728 519855535
974 1050 778157062
1334 1317 538450380
1423 1324 954731913
1635 1655 979937918
719 779 915469825
1906 1942 38655740
586 684 977714689
1554 1461 509957833
1360 1477 190602377
39 91 841374053
1303 1340 823199259
1636 1691 68816462
73 174 79279970
381 467 803103165
1198 1062 889306086
1616 1730 518339414
308 259 103608189
854 790 950303389
1414 1250 855899266
1496 1547 151421450
435 486 899219774
1128 1186 479957152
1266 1431 779837591
1651 1743 365174136
724 725 387290489
800 723 813965571
1301 1305 432607674
1029 1076 550508045
416 448 224572855
1136 965 896137519
1857 1748 403184545
1936 1854 68491021
608 475 611354272
1051 1117 441747447
1676 1587 498368615
314 265 731197309
1350 1485 992236711
957 907 933716905
1362 1294 91615873
1101 1061 511925990
896 650 566955958
1763 1919 634059041
1856 1710 793093616
1935 1915 413478808
1817 1757 241590512
197 124 622406270
1599 1613 794632235
1552 1684 26100167
1781 1720 2441725
205 58 853990373
1884 1980 684253266
404 310 716311054
1810 1685 873091337
1728 1836 503334032
299 377 194614879
1573 1636 72613663
1809 1841 799464625
549 588 830458132
1031 1118 55882517
847 831 821530298
268 333 115589783
1480 1499 531532679
1434 1373 297161799
1631 1517 677254181
1402 1544 821801746
127 163 83477932
15 20 633217460
762 700 883183191
159 156 304767897
23 58 541315390
1360 1332 6536635
1523 1526 747409270
225 60 56196736
765 788 681093256
553 490 810873805
1437 1415 767048624
245 161 603254578
105 252 185569368
1041 948 858722645
1794 1760 55240787
462 417 942163019
171 55 432724736
1315 1225 528527795
646 585 900067539
721 697 48176070
1398 1326 116350541
1842 1968 346757052
305 312 929414495
1185 1333 2995461
1355 1513 784412532
552 669 326160404
318 205 551568101
454 456 994552114
588 683 596352899
1929 1971 389223385
183 349 440530785
192 119 273870868
1369 1521 795113601
1372 1296 53707720
1655 1757 68638952
396 432 676680386
1219 1314 879340694
37 173 534019188
1311 1389 197316
1734 1854 359140456
40 69 484329269
1756 1802 522390204
189 130 502159124
631 642 696861731
1317 1378 639507023
1475 1320 609648748
1770 1814 432968268
1975 1820 428463969
695 743 989268057
1031 1047 441511149
1174 1189 287516637
317 264 47362805
386 394 48806019
709 674 980489988
1569 1642 333919939
1144 1115 581097228
97 64 971719309
184 143 302012433
388 368 68980645
873 772 742168044
1285 1255 418136320
1556 1484 964403789
809 491 578401865
575 674 546393119
1112 1031 382734680
1598 1501 969334047
764 817 925422763
1930 1866 695917628
1960 1860 491483265
1422 1548 255203667
1908 1790 593496979
1304 1359 511686472
1351 1295 705902285
666 899 729068967
766 792 75393092
1284 1329 628941383
1703 1744 496565580
1738 1837 389374582
685 651 25497268
807 815 50158343
1567 1616 54724998
867 678 270151913
130 81 283134263
194 217 477149239
1958 1912 637032
1910 1882 422205576
483 592 298965582
1592 1511 999841202
430 388 857798696
110 152 499199484
1503 1441 378318552
1333 1228 338699429
1437 1563 191306862
1061 954 418764775
1762 1787 836937542
530 473 579815137
1983 1961 206920307
647 665 712111675
1871 1698 110884477
1500 1559 38947707
26 91 262975840
1903 1766 39085629
1951 1888 393761554
708 741 203898512
1491 1523 881705727
1471 1433 392190134
1356 1375 654679139
384 435 306539965
1656 1488 18805673
626 756 346203819
300 234 259436996
1988 1919 160698701
1887 1781 661069859
1589 1543 303171280
1007 988 319917812
1182 1276 814170743
1183 1122 818261199
1773 1800 756652371
627 654 326331931
322 396 272618418
682 606 734645874
684 691 314432965
1203 1196 959856326
406 362 491143497
973 969 833533337
1291 1382 374546904
545 510 247004440
30 102 990506882
1049 1149 567650418
122 281 978940329
1039 1033 692924442
244 516 740131446
704 595 21748490
1043 977 611601386
523 622 173756652
1009 1031 994522114
1783 1793 91325001
849 833 434571262
889 799 302140572
1438 1490 956008649
1732 1873 134801327
1045 1517 467840765
818 1011 938458936
198 35 401961859
1534 1468 943640031
664 653 269513078
19 58 444335302
255 254 28856170
1471 1411 520534711
426 512 846270655
326 428 680763271
1133 1231 884722407
939 1027 181358085
1154 1323 515303537
572 470 614168773
180 156 42847163
469 498 665913270
1937 1905 514881968
328 359 653579482
1510 1604 791348417
1916 1911 370950681
554 448 90743282
781 775 88189572
128 28 457281368
1095 1166 164476733
447 326 788689114
1578 1559 943090832
1790 1717 433683400
882 768 600358976
422 352 284287398
46 51 276593553
986 958 909851901
484 507 16609593
512 644 633903006
1663 1741 55306460
746 713 556526551
1994 1972 9224207
648 495 565683136
940 1120 851781000
851 911 329774789
623 659 43408843
876 886 2848335
1107 1241 989169291
1017 1147 725754973
1877 1876 73410046
150 168 360412447
887 727 639070115
383 437 45774658
1244 1164 90011781
1646 1741 8572296
873 829 216326499
207 83 703480978
1416 1471 29273267
362 387 508013209
271 277 687706677
119 98 534939773
890 625 999245992
708 672 995782594
341 331 892015698
759 749 666076385
1823 1890 24376150
1607 1669 533883361
117 157 707160645
692 693 43899798
127 220 125320586
1643 1525 868878600
2 101 628879062
295 249 714152101
897 923 50279923
1716 1865 644836968
1072 987 266183871
1287 1299 83658465
1927 1883 566326056
1055 1024 524890402
1320 1213 325254873
604 690 158588983
1759 1699 439436688
476 540 740667496
1741 1799 937317205
627 550 938649525
1424 1428 806692240
1221 1204 818643045
1640 1648 945222257
52 75 45323536
271 421 165544644
1064 1128 762588142
745 664 870069781
783 947 514936956
1485 1426 665418839
1797 1819 186190479
155 164 132291521
1079 1113 210061242
1239 1252 792831490
774 989 840287548
1464 1520 380260443
1643 1712 647480180
571 558 482662181
1696 1554 18315797
1047 1157 305119375
717 725 659666820
88 29 17607262
1884 1904 22233215
1207 1280 327934587
270 276 932357945
288 180 647170487
1795 1621 948210640
1192 1273 576266956
766 921 563327701
62 217 2976953
1752 1875 355894110
206 222 605051263
1650 1585 7410653
601 622 676739599
1507 1449 981961735
1538 1524 301884851
631 638 138790388
1974 1881 481055217
1953 1940 213718718
767 752 866679581
923 1026 220974804
269 356 488350927
935 977 121683642
755 811 598467191
686 609 378116552
1050 1115 470579555
188 154 441144362
881 996 957318870
1869 1797 18498445
592 496 635583630
1262 1156 788372472
1787 1839 82421186
242 419 269678469
195 348 264909215
1149 1244 689076769
1283 1259 229622195
1256 1099 432449836
1126 1075 924575269
350 342 569497065
368 410 892365772
1659 1577 119116669
1483 1497 188203276
1529 1421 659399525
412 309 853808286
611 385 630114638
1112 1208 164526403
1572 1581 975955061
752 737 61253163
821 676 709001218
1467 1525 204610735
1676 1809 426147805
1879 1902 713936103
1642 1504 411266610
1201 1205 572546171
276 298 109018041
1882 1969 387963661
372 453 771787219
366 490 109909793
833 938 666206846
956 938 615826662
1610 1564 797030987
979 1023 271674217
1511 1580 374027974
573 374 766689301
1016 921 318173800
1538 1635 602528408
668 579 35465684
827 836 575814219
153 227 45172419
312 403 603436857
673 892 853445967
1366 1346 234538056
1542 1632 741057461
1990 1952 531762598
995 875 872282927
958 1003 157587994
1449 1459 993761691
898 1022 63594285
1682 1711 431840922
323 399 105215153
224 231 784237159
80 117 566732622
1498 1429 279019842
925 904 57188515
1650 1761 51399581
1849 1913 231199243
268 315 696162814
537 517 713756328
1119 1185 376193071
930 900 679208730
289 316 912899910
519 597 9198566
441 511 850404850
255 342 1889132
10 15 985414971
1401 1314 820911097
1287 1235 28976185
1463 1522 378793627
1896 1891 568016377
551 404 44134802
977 1033 515316018
1456 1531 664211746
1120 959 598155338
1388 1271 168850873
479 398 852069284
747 814 964823328
357 318 962194850
1726 1710 4642103
1140 1150 401117276
1463 1484 54556093
943 824 907448271
531 561 940766479
978 885 29327531
1895 1843 144614453
795 695 612182385
718 599 272887377
1435 1561 208413367
771 611 338184472
331 267 93463197
609 536 726865158
1725 1686 690692566
633 562 338697568
1902 1810 776909505
161 229 258230621
1541 1596 195576949
1892 1818 465234334
707 636 146139396
461 714 142056193
1535 1459 288817772
966 905 519131279
1450 1245 536973833
1689 1574 751330511
24 68 106677035
681 813 669762796
251 240 64477756
164 287 704759062
908 703 739998079
790 905 150931028
1074 1148 207167017
505 435 753810642
440 539 565920204
1130 715 744713536
1977 1870 510527122
1506 1585 909711181
1848 1998 308875798
1682 1671 126352816
1469 1298 420397156
418 513 363343494
812 883 210875994
1211 1124 371860340
683 823 917675826
1123 941 921166996
501 373 607982208
995 1079 210860517
1418 1327 643279413
1688 1841 499144542
1959 1982 664294319
1633 1695 126455225
1583 1489 111609194
1312 1281 82840106
938 1000 868373806
931 896 655589027
333 427 57526183
1008 956 107096332
1872 1950 435426288
1128 1169 40585922
1131 1292 529703573
1401 1465 690575015
1040 1139 229383158
1341 1315 282950380
817 927 306148925
1612 1491 479321204
997 973 492461126
1741 1715 8056510
71 41 668467979
1206 1339 2792091
1587 1353 223098062
804 885 410804513
776 834 3748412
1300 1607 472615683
125 54 65977573
1429 1359 155200998
391 358 966925337
567 576 597268191
1603 1774 1044097
673 568 746172430
1999 1953 776833909
935 981 179774196
459 409 709853090
215 72 154254469
1570 1543 688723154
49 96 1478337
560 476 718065768
1826 1684 59280742
1945 1990 632868994
18 123 101471409
122 32 487654088
810 806 140033112
689 773 735937384
794 865 849728283
1661 1703 516377722
979 988 730502599
80 16 244289316
135 152 764038267
1383 1289 430532602
1121 1051 354575283
1638 1764 245452490
436 355 748963440
196 321 258264526
621 502 935145130
149 174 894613020
368 296 499126637
311 457 262614717
1751 1695 199663769
1827 1843 331627251
1914 1910 39435096
455 350 698333578
781 824 819134941
1295 1167 105551484
1430 1468 979803222
105 17 128022780
631 529 723109386
1600 1639 367214127
1613 1758 69195868
1122 1059 99473064
836 729 890435413
1103 1135 716234028
160 60 871067332
506 700 7693394
1363 1201 962685348
1950 1947 542917727
1353 1274 4547555
96 129 158563153
258 147 570215043
129 177 133452587
1668 1514 922253971
1748 1590 11807973
1407 1377 902143609
448 334 614924413
616 471 402228528
206 41 167137544
620 686 552208002
833 728 911342834
243 181 135243065
918 987 790261556
1824 1975 785477690
1106 1022 2521401
137 313 508250220
1103 1059 30354040
1658 1738 661676271
1449 1382 704881908
1419 1187 789225475
917 894 321008886
1251 1380 46640343
212 281 620069026
1953 1807 891806910
1858 1955 630397072
892 662 934847031
141 16 81395970
1569 1557 288559268
304 362 96745787
1976 1868 403903537
877 755 60088155
1403 1416 880408373
1864 1785 51297481
695 699 286059679
1905 1831 469409288
1040 957 835142887
490 626 426525150
860 825 60000633
645 662 301093221
450 321 811019370
315 335 903223852
548 338 778023951
1225 1094 113180216
134 218 506857109
1745 1704 584259885
444 379 964959403
916 1105 136673534
979 863 13758914
1608 1498 5250991
1669 1195 996273738
1745 1801 411920171
943 1004 47739690
313 293 879638791
494 432 996113191
1891 1641 513403216
14 97 167210297
1068 853 188548456
893 797 755840334
530 619 30542684
253 378 518701532
1288 1367 596449218
1553 1476 121245857
1339 1375 15650929
716 764 947077898
107 43 541514035
1060 1154 131037597
259 213 961729997
1839 1846 455666503
467 537 250939344
1653 1663 29179589
473 510 697503528
1518 1605 744758610
1168 1107 595727452
1331 1260 447884224
365 248 588237446
214 121 41355117
1647 1741 213897736
608 569 379078024
763 730 628293115
1454 1470 787036891
1127 1001 60082478
1558 1459 15211748
169 14 457531450
488 246 326933935
696 597 938150171
199 344 856631038
1048 1133 735297677
880 605 548303315
142 590 847858479
217 313 866763768
690 696 84209196
1826 1718 728195592
1966 1919 27894346
1190 1166 264424592
696 711 653124432
155 256 643011719
1259 1335 584581653
1636 1677 17989100
248 241 531225127
1326 1268 848214100
1645 1519 340578734
76 156 492301140
1553 1637 261856537
108 235 313072281
1253 1179 184386207
1076 1069 455147513
320 159 511204154
777 481 688811661
1697 1538 260549115
1180 1282 870992810
987 780 956627769
1861 1846 303945792
843 928 572982426
1667 1622 608167394
471 656 425617911
1150 1174 563680008
1921 1906 538272548
1707 1593 195556227
1898 1860 267130603
612 710 792339458
424 676 740892282
1492 1610 836614267
1318 1314 852125340
279 323 761726175
478 602 199820053
1218 1068 957576304
1687 1720 943187158
894 934 909969258
70 104 25367447
1414 1240 211591913
1158 1044 830339654
614 457 402506478
1751 1805 298934624
851 791 693463911
1806 1923 76845951
1258 1184 5248846
125 94 768809612
1330 1380 992187295
820 708 535671195
1123 1035 987999877
178 172 836170224
463 264 3270161
1447 1462 229936422
635 505 321058033
1995 1914 693788574
1658 1765 934709373
144 57 428202557
